"Year Level","Qualification","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Participant Count","Cohort Warning"
"11","NCEA Level 1","2015","1","0.868","0.861","45213","44835","52094",""
"11","NCEA Level 1","2016","1","0.877","0.87","45871","45499","52277",""
"11","NCEA Level 1","2017","1","0.874","0.866","44477","44102","50900",""
"11","NCEA Level 1","2018","1","0.854","0.847","42972","42597","50293",""
"11","NCEA Level 1","2019","1","0.855","0.848","43065","42706","50385",""
"11","NCEA Level 1","2020","1","0.892","0.886","43835","43512","49124",""
"11","NCEA Level 1","2021","1","0.879","0.87","43071","42623","49003",""
"11","NCEA Level 1","2022","1","0.853","0.842","42337","41753","49609",""
"11","NCEA Level 1","2023","1","0.819","0.808","42371","41819","51733",""
"11","NCEA Level 1","2024","1","0.715","0.701","32218","31585","45069",""
"12","NCEA Level 1","2015","0","0.966","0.121","48465","6090","50156",""
"12","NCEA Level 1","2016","0","0.97","0.113","50601","5916","52162",""
"12","NCEA Level 1","2017","0","0.971","0.107","50754","5580","52263",""
"12","NCEA Level 1","2018","0","0.97","0.108","49176","5469","50701",""
"12","NCEA Level 1","2019","0","0.966","0.125","48552","6291","50267",""
"12","NCEA Level 1","2020","0","0.97","0.137","49679","6997","51224",""
"12","NCEA Level 1","2021","0","0.97","0.134","50042","6910","51585",""
"12","NCEA Level 1","2022","0","0.962","0.135","49250","6913","51200",""
"12","NCEA Level 1","2023","0","0.955","0.17","50605","8984","52974",""
"12","NCEA Level 1","2024","0","0.925","0.189","52339","10674","56590",""
"13","NCEA Level 1","2015","0","0.983","0.026","44561","1193","45314",""
"13","NCEA Level 1","2016","0","0.985","0.026","44229","1147","44899",""
"13","NCEA Level 1","2017","0","0.987","0.022","45227","1010","45803",""
"13","NCEA Level 1","2018","0","0.987","0.022","44108","984","44669",""
"13","NCEA Level 1","2019","0","0.987","0.023","42789","985","43354",""
"13","NCEA Level 1","2020","0","0.988","0.028","42971","1209","43488",""
"13","NCEA Level 1","2021","0","0.989","0.021","44204","948","44718",""
"13","NCEA Level 1","2022","0","0.987","0.019","42711","841","43288",""
"13","NCEA Level 1","2023","0","0.984","0.029","41944","1232","42631",""
"13","NCEA Level 1","2024","0","0.971","0.037","44699","1725","46025",""
